Encoder,Embedding size,TTT,PEI,ITA,Inference time std dev (ms)
BERT,768,1,1,1,1
BERT,704,0.06,-0.01,0.09,0.1
BERT,640,-0.19,0.15,0.65,0.71
BERT,512,0.07,0.17,0.68,0.74
BERT,384,0.04,0.18,0.71,0.77
DistilBERT,1536,0.62,0.28,0.39,0.37
DistilBERT,768,0.61,0.08,-0.27,-0.38
DistilBERT,704,0.6,0.2,0.09,-0.02
DistilBERT,640,0.61,0.4,0.66,0.69
DistilBERT,512,0.61,0.23,0,-0.11
DistilBERT,384,0.61,0.27,0.15,0.09
DistilBERT,312,0.82,0.62,0.74,0.8
TinyBERT,1536,0.82,1,0.35,0.36
TinyBERT,768,0.82,0.55,0.62,0.68
TinyBERT,512,0.82,0.6,0.7,0.76
TinyBERT,384,0.82,0.61,0.71,0.78
TinyBERT,256,0.7,0.58,0.76,0.84
TinyBERT,384,0.7,0.57,0.73,0.8
ELECTRA,1536,0.72,0.36,0.48,0.55
ELECTRA,768,0.72,0.5,0.66,0.73
ELECTRA,512,0.72,0.54,0.72,0.78
ELECTRA,384,0.7,0.57,0.73,0.8
